name;image_url_fr_internet;image_url_fr_server;date_of_birth;place_of_birth;nationality;height;prefer_position_id;position_id;team_id;shirt_number;rating
Mesut Özil;https://upload.wikimedia.org/wikipedia/commons/1/12/Mesut_%C3%96zil_at_Baku_before_2019_UEFA_Europe_League_Final.jpg;base_url/resources/images/players-pict/premier-league/arsenal/mesut-ozil.webp;1988-10-15;Gelsenkirchen, Germany;Germany;1.80;12;14;1;10;69
Nicolas Pépé;https://ligacdn.com/storage/images/news/2020/02/15/mikel-arteta-yakinkan-fans-soal-performa-nicolas-pepe.jpeg;base_url/resources/images/players-pict/premier-league/arsenal/nicolas-pepe.webp;1995-05-29;Mantes-la-Jolie, France;France;1.83;11;14;1;19;79
Emile Smith Rowe;https://www.thesun.co.uk/wp-content/uploads/2019/07/NINTCHDBPICT000503482920-1-e1562697857185.jpg;base_url/resources/images/players-pict/premier-league/arsenal/emile-smith-rowe.webp;2000-07-28;Croydon, England;England;1.82;12;14;1;32;64
Joe Willock;https://www.thesun.co.uk/wp-content/uploads/2019/01/NINTCHDBPICT000461853036-e1548538882829.jpg;base_url/resources/images/players-pict/premier-league/arsenal/joe-willock.webp;1999-08-20;Waltham Forest, England;England;1.86;12;10;1;28;69
Willian;https://s.hs-data.com/bilder/spieler/gross/70412.jpg;base_url/resources/images/players-pict/premier-league/arsenal/willian.webp;1988-08-09;Ribeirão Pires, Brazil;Brazil;1.75;14;13;1;12;85
Folarin Balogun;https://i2-prod.football.london/incoming/article18510089.ece/ALTERNATES/s1200c/1_GettyImages-1206951269.jpg;base_url/resources/images/players-pict/premier-league/arsenal/folarin-balogun.webp;2001-07-03;New York, United States;England;1.78;18;18;1;-;-
Alexandre Lacazette;https://upload.wikimedia.org/wikipedia/commons/d/da/Alexandre_Lacazette_at_Baku_before_2019_UEFA_Europe_League_Final.jpg;base_url/resources/images/players-pict/premier-league/arsenal/alexandre-lacazette.webp;1991-05-28;Lyon, France;France;1.75;18;18;1;9;78
Reiss Nelson;https://pbs.twimg.com/profile_images/1145638330333351937/GOuGLCKk_400x400.jpg;base_url/resources/images/players-pict/premier-league/arsenal/reiss-nelson.webp;1999-12-10;Elephant and Castle, England;England;1.75;14;13;1;24;67
Pierre-Emerick Aubameyang;https://ligacdn.com/storage/images/news/2020/08/17/aubameyang-beri-kode-segera-perpanjang-kontrak-di-arsenal.jpeg;base_url/resources/images/players-pict/premier-league/arsenal/pierre-emerick-aubameyang.webp;1989-06-18;Laval, France;Gabon;1.87;18;13;1;14;89
Gabriel Martinelli;https://img.okezone.com/content/2020/03/25/45/2188616/gabriel-martinelli-saya-ingin-jadi-legenda-di-arsenal-RT7Fne2mxn.jpg;base_url/resources/images/players-pict/premier-league/arsenal/gabriel-martinelli.webp;2001-06-18;Guarulhos, Brazil;Brazil;1.80;13;9;1;35;-
Eddie Nketiah;https://upload.wikimedia.org/wikipedia/commons/3/38/Eddie_Nketiah%2C_2017-10-24.jpg;base_url/resources/images/players-pict/premier-league/arsenal/eddie-nketiah.webp;1999-05-30;Lewisham, London, England;England;1.80;18;18;1;30;69

Tom Heaton;https://www.sportinglife.com/images/news/945x532/ea5c429e-4b3e-4d04-b542-539c065232ee.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/tom-heaton.webp;1986-04-15;Chester, England;England;1.88;1;1;2;1;68
Lovre Kalinić;https://upload.wikimedia.org/wikipedia/commons/3/3b/Lovre_Kalini%C4%87_in_2018.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/lovre-kalinic.webp;1990-04-03;Split, Croatia;Croatia;2.01;1;1;2;28;53
Emiliano Martínez;https://images.daznservices.com/di/library/GOAL/6b/8a/emiliano-martinez-aston-villa-2020-21_1duptmdz1wukf1indonkedok2k.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/emiliano-martinez.webp;1992-09-02;Mar del Plata, Argentina;Argentina;1.95;1;1;2;26;84
Jed Steer;https://cdn.vox-cdn.com/thumbor/i7mokrN14JBAtoIG2SHquii33oo=/0x0:3369x4184/1200x800/filters:focal(1343x725:1881x1263)/cdn.vox-cdn.com/uploads/chorus_image/image/64924980/1164604931.jpg.0.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/jed-steer.webp;1992-09-23;Norwich, England;England;1.83;1;1;2;12;-
Ahmed El Mohamady;https://tmssl.akamaized.net/images/portrait/originals/66333-1548677869.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/ahmed-el-mohamady.webp;1987-09-09;El Mahalla El Kubra, Egypt;Egypt;1.83;4;11;2;27;65
Matty Cash;https://resources.premierleague.com/photos/2020/09/03/5e0a818f-768a-4ea6-80d5-c1db7611ca1b/Cash3.jpg?width=930&height=620;base_url/resources/images/players-pict/premier-league/aston-villa/matty-cash.webp;1997-08-07;Wexham, England;England;1.85;4;11;2;2;72
Ezri Konsa;https://cdn.theathletic.com/app/uploads/2020/02/27071932/Ezri-Konsa-Aston-Villa-scaled-e1582806088850-1024x640.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/ezri-konsa.webp;1997-10-23;Newham, London, England;England;1.83;3;4;2;4;74
Neil Taylor;https://s.hs-data.com/bilder/spieler/gross/158784.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/neil-taylor.webp;1989-02-07;St Asaph, Wales;Wales;1.76;2;2;2;3;61
Björn Engels;https://www.hitc.com/static/uploads/hitcn/1549/bjorn_engels_of_aston_villa_during_the_premier_league_match_betw_1309263.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/bjorn-engels.webp;1994-09-15;Kaprijke, Belgium;Belgium;1.93;3;3;2;22;64
Frédéric Guilbert;https://s.hs-data.com/bilder/spieler/gross/297728.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/frederic-guilbert.webp;1994-12-24;Valognes, France;France;1.78;4;6;2;24;71
Kortney Hause;https://s.hs-data.com/bilder/spieler/gross/218143.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/kortney-hause.webp;1995-07-16;Goodmayes, London, England;England;1.91;3;2;2;30;68
Tyrone Mings;https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2020/06/01/1071486982.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/tyrone-mings.webp;1993-03-13;Bath, England;England;1.96;3;3;2;5;79
Matt Targett;https://sm.imgix.net/19/31/matt-targett.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/matt-targett.webp;1995-09-18;Eastleigh, England;England;1.83;2;5;2;18;76
Ross Barkley;https://d3vlf99qeg6bpx.cloudfront.net/content/uploads/2020/10/31140257/Ross-Barkley.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/ross-barkley.webp;1993-12-05;Liverpool, England;England;1.89;10;12;2;20;82
Conor Hourihane;https://s.hs-data.com/bilder/spieler/gross/169693.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/conor-hourihane.webp;1991-02-02;Bandon, Cork, Republic of Ireland;Republic of Ireland;1.80;10;8;2;14;76
Henri Lansbury;https://tbrfootball.com/static/uploads/27/2019/08/GettyImages-1164395214.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/henri-lansbury.webp;1990-10-12;Enfield, London, England;England;1.83;10;8;2;8;48
John McGinn;https://i2-prod.dailyrecord.co.uk/incoming/article22374835.ece/ALTERNATES/s1200c/0_Aston-Villa-v-Sheffield-United-Premier-League.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/john-mcginn.webp;1994-10-18;Glasgow, Scotland;Scotland;1.78;10;10;2;7;77
Marvelous Nakamba;https://s3-eu-west-2.amazonaws.com/newzimlive/wp-content/uploads/2020/09/12060336/Marvelous-Nakamba.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/marvelous-nakamba.webp;1994-01-19;Hwange, Zimbabwe;Zimbabwe;1.78;8;10;2;19;69
Douglas Luiz;https://bolaterus.com/wp-content/uploads/2019/10/Bolaterus-251.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/douglas-luiz.webp;1998-05-09;Rio de Janeiro, Brazil;Brazil;1.75;8;10;2;6;75
Jack Grealish;https://talksport.com/wp-content/uploads/sites/5/2020/07/GettyImages-1227724081.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/jack-grealish.webp;1995-09-10;Birmingham, England;England;1.75;12;13;2;10;86
Bertrand Traoré;https://www.farpost.co.za/wp-content/uploads/2020/11/Traore-main.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/bertrand-traore.webp;1995-09-06;Bobo-Dioulasso, Burkina Faso;Burkina Faso;1.80;14;11;2;15;69
Trezeguet;https://upload.wikimedia.org/wikipedia/commons/b/b7/Mahmoud_Tr%C3%A9z%C3%A9guet_in_world_cup_2018.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/trezeguet.webp;1994-10-01;Kafr El Sheikh, Egypt;Egypt;1.80;13;14;2;17;73
Anwar El Ghazi;https://cdn.mos.cms.futurecdn.net/cecdYN2G4npqGqv6RRPEgh-1200-80.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/anwar-el-ghazi.webp;1995-05-03;Barendrecht, Netherlands;Netherlands;1.88;14;13;2;21;66
Keinan Davis;https://i2-prod.birminghammail.co.uk/incoming/article12939177.ece/ALTERNATES/s1200c/JS101615734.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/keinan-davis.webp;1998-02-13;Stevenage, England;England;1.91;18;18;2;39;-
Wesley Moraes;https://cdn.vox-cdn.com/thumbor/1PVX6NNXaMurp585pOtT3RuthW8=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/19349163/1185121427.jpg.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/wesley-moraes.webp;1996-11-26;Juiz de Fora, Brazil;Brazil;1.91;18;18;2;9;67
Ollie Watkins;https://www.sheffieldunited.news/static/uploads/11/2020/09/GettyImages-1228534489.jpg;base_url/resources/images/players-pict/premier-league/aston-villa/ollie-watkins.webp;1995-12-30;Torquay, England;England;1.80;18;14;2;11;73

Robert Sánchez;https://pbs.twimg.com/profile_images/836308353093611527/i4O67n1w.jpg;base_url/resources/images/players-pict/premier-league/brighton/robert-sanchez.webp;1997-11-18;Cartagena, Spain;Spain;1.97;1;1;3;26;-
Mathew Ryan;https://s.hs-data.com/bilder/spieler/gross/153979.jpg;base_url/resources/images/players-pict/premier-league/brighton/mathew-ryan.webp;1992-04-08;Plumpton, New South Wales, Australia;Australia;1.84;1;1;3;1;71
Jason Steele;https://resources.premierleague.com/premierleague/photo/2019/10/20/61ee1c53-3b98-416f-ab26-aa87d5dbe75f/Jason-Steele-Brighton.jpg;base_url/resources/images/players-pict/premier-league/brighton/jason-steele.webp;1990-08-18;Newton Aycliffe, England;England;1.88;1;1;3;23;46
Christian Walton;https://tbrfootball.com/static/uploads/27/2018/03/GettyImages-933573088.jpg;base_url/resources/images/players-pict/premier-league/brighton/christian-walton.webp;1995-11-09;Wadebridge, England;England;1.96;1;1;3;31;65
Dan Burn;https://cdn.mos.cms.futurecdn.net/mxv7E2Qm8BCZznPGoFTb3P-1200-80.jpg;base_url/resources/images/players-pict/premier-league/brighton/dan-burn.webp;1992-05-09;Blyth, England;England;2.01;3;2;3;33;76
Bernardo;https://www2.pictures.zimbio.com/gi/Bernardo+Watford+FC+vs+Brighton+Hove+Albion+6BXefSzDyyJl.jpg;base_url/resources/images/players-pict/premier-league/brighton/bernardo.webp;1995-05-14;São Paulo, Brazil;Brazil;1.86;2;5;3;30;64
Lars Dendoncker;https://i.dailymail.co.uk/1s/2020/08/07/17/31686586-8605083-image-a-10_1596819507354.jpg;base_url/resources/images/players-pict/premier-league/brighton/lars-dendoncker.webp;2001-04-03;Belgium;Belgium;1.88;3;3;3;53;-
Lewis Dunk;https://e2.365dm.com/18/10/800x600/skysports-lewis-dunk-brighton_4444167.jpg;base_url/resources/images/players-pict/premier-league/brighton/lewis-dunk.webp;1991-11-21;Brighton, England;England;1.92;3;3;3;5;77
Joël Veltman;https://s.hs-data.com/bilder/spieler/gross/205675.jpg;base_url/resources/images/players-pict/premier-league/brighton/joel-veltman.webp;1992-01-15;IJmuiden, Netherlands;Netherlands;1.84;3;4;3;34;72
Adam Webster;https://sm.imgix.net/19/35/adam-webster.jpg;base_url/resources/images/players-pict/premier-league/brighton/adam-webster.webp;1995-01-04;Chichester, England;England;1.91;3;3;3;4;76
Ben White;https://s.hs-data.com/bilder/spieler/gross/329391.jpg;base_url/resources/images/players-pict/premier-league/brighton/ben-white.webp;1997-10-08;Poole, England;England;1.85;3;3;3;3;76
Tariq Lamptey;https://i2-prod.football.london/chelsea-fc/news/article18966620.ece/ALTERNATES/s1200c/0_GettyImages-1273666347.jpg;base_url/resources/images/players-pict/premier-league/brighton/tariq-lamptey.webp;2000-09-30;Hillingdon, England;England;1.64;6;4;3;2;-
José Izquierdo;https://cdn.mos.cms.futurecdn.net/vggmNqgccNMh7mdEQWaHtA.jpg;base_url/resources/images/players-pict/premier-league/brighton/jose-izquierdo.webp;1992-07-07;Pereira, Colombia;Colombia;1.71;9;13;3;19;51
Solly March;https://i2-prod.sussexlive.co.uk/incoming/article4381737.ece/ALTERNATES/s615/0_GettyImages-1227793454.jpg;base_url/resources/images/players-pict/premier-league/brighton/solly-march.webp;1994-07-20;Eastbourne, England;England;1.80;9;5;3;20;71
Steven Alzate;https://i2-prod.sussexlive.co.uk/sport/football/football-news/article4489073.ece/ALTERNATES/s615/1_GettyImages-1269538401.jpg;base_url/resources/images/players-pict/premier-league/brighton/steven-alzate.webp;1998-09-08;Camden, England;Colombia;1.80;10;12;3;17;65
Yves Bissouma;https://s.hs-data.com/bilder/spieler/gross/344196.jpg;base_url/resources/images/players-pict/premier-league/brighton/yves-bissouma.webp;1996-08-30;Issia, Ivory Coast;Mali;1.82;10;8;3;8;82
