name;image_url_fr_internet;image_url_fr_server;date_of_birth;place_of_birth;nationality;height;prefer_position_id;position_id;team_id;shirt_number;rating
Max Thompson;https://s.hs-data.com/bilder/spieler/gross/433326.jpg;base_url/resources/images/players-pict/premier-league/burnley/max-thompson.webp;2002-02-09;Macclesfield, England;England;1.82;18;18;4;33;-
Ashley Barnes;https://s.hs-data.com/bilder/spieler/gross/95078.jpg;base_url/resources/images/players-pict/premier-league/burnley/ashley-barnes.webp;1989-10-30;Bath, England;England;1.86;18;18;4;10;61
Chris Wood;https://s.hs-data.com/bilder/spieler/gross/140366.jpg;base_url/resources/images/players-pict/premier-league/burnley/chris-wood.webp;1991-12-07;Auckland, New Zealand;New Zealand;1.91;18;18;4;9;74
Matěj Vydra;https://s.hs-data.com/bilder/spieler/gross/161462.jpg;base_url/resources/images/players-pict/premier-league/burnley/matej-vydra.webp;1992-05-01;Chotěboř, Czechoslovakia;Czech Republic;1.80;16;12;4;27;66

Kepa Arrizabalaga;https://s.hs-data.com/bilder/spieler/gross/204234.jpg;base_url/resources/images/players-pict/premier-league/chelsea/kepa-arrizabalaga.webp;1994-10-03;Ondarroa, Spain;Spain;1.86;1;1;5;1;71
Willy Caballero;https://s.hs-data.com/bilder/spieler/gross/17550.jpg;base_url/resources/images/players-pict/premier-league/chelsea/willy-caballero.webp;1981-09-28;Santa Elena, Argentina;Argentina;1.86;1;1;5;13;64
Edouard Mendy;https://s.hs-data.com/bilder/spieler/gross/361214.jpg;base_url/resources/images/players-pict/premier-league/chelsea/edouard-mendy.webp;1992-03-01;Montivilliers, France;Senegal;1.97;1;1;5;16;80
Cesar Azpilicueta;https://s.hs-data.com/bilder/spieler/gross/79198.jpg;base_url/resources/images/players-pict/premier-league/chelsea/cesar-azpilicueta.webp;1989-08-28;Pamplona, Spain;Spain;1.78;4;2;5;28;85
Reece James;https://s.hs-data.com/bilder/spieler/gross/386671.jpg;base_url/resources/images/players-pict/premier-league/chelsea/reece-james.webp;1999-12-08;Redbridge, England;England;1.82;4;8;5;24;81
Abdul Rahman Baba;https://s.hs-data.com/bilder/spieler/gross/212277.jpg;base_url/resources/images/players-pict/premier-league/chelsea/abdul-rahman-baba.webp;1994-07-02;Tamale, Ghana;Ghana;1.79;2;2;5;-;59
Ben Chilwell;https://s.hs-data.com/bilder/spieler/gross/274034.jpg;base_url/resources/images/players-pict/premier-league/chelsea/ben-chilwell.webp;1996-12-21;Milton Keynes, England;England;1.78;2;2;5;21;83
Emerson Palmieri;https://s.hs-data.com/bilder/spieler/gross/205932.jpg;base_url/resources/images/players-pict/premier-league/chelsea/emerson-palmieri.webp;1994-08-03;Santos, Brazil;Italy;1.76;2;2;5;33;74
Marcos Alonso;https://s.hs-data.com/bilder/spieler/gross/148653.jpg;base_url/resources/images/players-pict/premier-league/chelsea/marcos-alonso.webp;1990-12-28;Madrid, Spain;Spain;1.88;2;5;5;3;78
Andreas Christensen;https://s.hs-data.com/bilder/spieler/gross/228880.jpg;base_url/resources/images/players-pict/premier-league/chelsea/andreas-christensen.webp;1996-04-10;Lillerød, Denmark;Denmark;1.88;3;3;5;4;81
Thiago Silva;https://s.hs-data.com/bilder/spieler/gross/29391.jpg;base_url/resources/images/players-pict/premier-league/chelsea/thiago-silva.webp;1984-09-22;Rio de Janeiro, Brazil;Brazil;1.83;3;3;5;6;83
Antonio Rüdiger;https://s.hs-data.com/bilder/spieler/gross/174182.jpg;base_url/resources/images/players-pict/premier-league/chelsea/antonio-rudiger.webp;1993-03-03;Berlin, Germany;Germany;1.90;3;3;5;2;79
Fikayo Tomori;https://s.hs-data.com/bilder/spieler/gross/262347.jpg;base_url/resources/images/players-pict/premier-league/chelsea/fikayo-tomori.webp;1997-12-19;Calgary, Alberta, Canada;England;1.85;3;3;5;14;78
Kurt Zouma;https://s.hs-data.com/bilder/spieler/gross/189533.jpg;base_url/resources/images/players-pict/premier-league/chelsea/kurt-zouma.webp;1994-10-27;Lyon, France;France;1.90;3;3;5;15;89
Danny Drinkwater;https://s.hs-data.com/bilder/spieler/gross/148329.jpg;base_url/resources/images/players-pict/premier-league/chelsea/danny-drinkwater.webp;1990-03-05;Manchester, England;England;1.77;10;10;5;-;58
Jorginho;https://s.hs-data.com/bilder/spieler/gross/196268.jpg;base_url/resources/images/players-pict/premier-league/chelsea/jorginho.webp;1991-12-20;Imbituba, Brazil;Italy;1.80;10;8;5;5;81
Billy Gilmour;https://s.hs-data.com/bilder/spieler/gross/386065.jpg;base_url/resources/images/players-pict/premier-league/chelsea/billy-gilmour.webp;2001-06-11;Glasgow, Scotland;Scotland;1.70;10;12;5;23;-
N'Golo Kanté;https://s.hs-data.com/bilder/spieler/gross/211506.jpg;base_url/resources/images/players-pict/premier-league/chelsea/ngolo-kante.webp;1991-03-29;Paris, France;France;1.68;8;10;5;7;81
Mateo Kovačić;https://s.hs-data.com/bilder/spieler/gross/178015.jpg;base_url/resources/images/players-pict/premier-league/chelsea/mateo-kovacic.webp;1994-05-06;Linz, Austria;Croatia;1.78;10;8;5;17;79
Kai Havertz;https://s.hs-data.com/bilder/spieler/gross/274854.jpg;base_url/resources/images/players-pict/premier-league/chelsea/kai-havertz.webp;1999-06-11;Aachen, Germany;Germany;1.89;12;16;5;29;85
Mason Mount;https://s.hs-data.com/bilder/spieler/gross/337447.jpg;base_url/resources/images/players-pict/premier-league/chelsea/mason-mount.webp;1999-01-10;Portsmouth, England;England;1.78;12;10;5;19;79
Hakim Ziyech;https://s.hs-data.com/bilder/spieler/gross/216104.jpg;base_url/resources/images/players-pict/premier-league/chelsea/hakim-ziyech.webp;1993-03-19;Dronten, Netherlands;Morocco;1.81;12;14;5;22;77
Christian Pulisic;https://s.hs-data.com/bilder/spieler/gross/276767.jpg;base_url/resources/images/players-pict/premier-league/chelsea/christian-pulisic.webp;1998-09-18;Hershey, Pennsylvania, United States;United States;1.73;13;11;5;10;78
Callum Hudson-Odoi;https://s.hs-data.com/bilder/spieler/gross/369994.jpg;base_url/resources/images/players-pict/premier-league/chelsea/calum-hudson-odoi.webp;2000-11-07;Wandsworth, England;England;1.82;14;13;5;20;73
Tammy Abraham;https://s.hs-data.com/bilder/spieler/gross/267144.jpg;base_url/resources/images/players-pict/premier-league/chelsea/tammy-abraham.webp;1997-10-02;Camberwell, England;England;1.90;18;18;5;9;74
Olivier Giroud;https://s.hs-data.com/bilder/spieler/gross/59947.jpg;base_url/resources/images/players-pict/premier-league/chelsea/olivier-giroud.webp;1986-09-30;Chambéry, France;France;1.93;18;18;5;18;81
Timo Werner;https://s.hs-data.com/bilder/spieler/gross/198286.jpg;base_url/resources/images/players-pict/premier-league/chelsea/timo-werner.webp;1996-03-06;Stuttgart, Germany;Germany;1.80;18;13;5;11;93

Jack Butland;https://upload.wikimedia.org/wikipedia/commons/6/69/Butland_2018.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/jack-butland.webp;1993-03-10;Bristol, England;England;1.96;1;1;6;1;60
Vicente Guaita;https://s.hs-data.com/bilder/spieler/gross/125471.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/vicente-guaita.webp;1987-01-10;Torrent, Spain;Spain;1.90;1;1;6;31;79
Stephen Henderson;https://s.hs-data.com/bilder/spieler/gross/85580.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/stephen-henderson.webp;1988-05-02;Dublin, Republic of Ireland;Republic of Ireland;1.88;1;1;6;19;-
Wayne Hennessey;https://s.hs-data.com/bilder/spieler/gross/57506.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/wayne-hennessey.webp;1987-01-24;Bangor, Wales;Wales;1.98;1;1;6;13;67
Nathaniel Clyne;https://cdn.readeverything.co/wp-content/uploads/sites/17/2019/06/119899092.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/nathaniel-clyne.webp;1991-04-05;Stockwell, London, England;England;1.75;4;4;6;17;56
Joel Ward;https://s.hs-data.com/bilder/spieler/gross/132802.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/joel-ward.webp;1989-10-29;Emsworth, England;England;1.88;4;4;6;2;75
Nathan Ferguson;https://static.standard.co.uk/2020/11/06/16/newFile.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/nathan-ferguson.webp;2000-10-06;Birmingham, England;England;1.78;4;2;6;36;58
Tyrick Mitchell;https://i2-prod.football.london/incoming/article19196357.ece/ALTERNATES/s615/0_GettyImages-1282145914.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/tyrick-mitchell.webp;1999-09-01;Brent, England;England;1.74;2;2;6;27;-
Patrick van Aanholt;https://s.hs-data.com/bilder/spieler/gross/150647.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/patrick-van-aanholt.webp;1990-08-29;s-Hertogenbosch, Netherlands;Netherlands;1.77;2;2;6;3;77
Gary Cahill;https://s.hs-data.com/bilder/spieler/gross/32973.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/gary-cahill.webp;1985-12-19;Dronfield, England;England;1.93;3;3;6;24;69
Scott Dann;https://s.hs-data.com/bilder/spieler/gross/40488.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/scott-dann.webp;1987-02-14;Liverpool, England;England;1.88;3;3;6;6;71
Martin Kelly;https://s.hs-data.com/bilder/spieler/gross/131267.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/martin-kelly.webp;1990-04-27;Whiston, England;England;1.91;3;4;6;34;68
Jaïro Riedewald;https://s.hs-data.com/bilder/spieler/gross/227192.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/jairo-riedewald.webp;1996-09-09;Haarlem, Netherlands;Netherlands;1.82;3;2;6;44;69
Mamadou Sakho;https://s.hs-data.com/bilder/spieler/gross/75502.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/mamadou-sakho.webp;1990-02-13;Paris, France;France;1.87;3;3;6;12;67
James Tomkins;https://s.hs-data.com/bilder/spieler/gross/110150.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/james-tomkins.webp;1989-03-29;Basildon, England;England;1.92;3;3;6;5;70
Sam Woods;https://s.hs-data.com/bilder/spieler/gross/435912.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/sam-woods.webp;1998-09-11;Bromley, England;England;1.85;3;3;6;35;-
Max Meyer;https://s.hs-data.com/bilder/spieler/gross/175137.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/max-meyer.webp;1995-09-18;Oberhausen, Germany;Germany;1.73;9;10;6;7;61
Brandon Pierrick;https://s.hs-data.com/bilder/spieler/gross/513557.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/brandon-pierrick.webp;2001-12-10;Lambeth, England;England;1.82;11;11;6;40;-
Jeffrey Schlupp;https://s.hs-data.com/bilder/spieler/gross/170193.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/jeffrey-schlupp.webp;1992-12-23;Hamburg, Germany;Ghana;1.78;9;10;6;15;69
Cheikhou Kouyaté;https://s.hs-data.com/bilder/spieler/gross/104733.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/cheikhou-kouyate.webp;1989-12-21;Dakar, Senegal;Senegal;1.89;8;10;6;8;70
James McArthur;https://s.hs-data.com/bilder/spieler/gross/109763.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/james-mcarthur.webp;1987-10-07;Glasgow, Scotland;Scotland;1.78;10;8;6;18;76
James McCarthy;https://s.hs-data.com/bilder/spieler/gross/121018.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/james-mccarthy.webp;1990-11-12;Glasgow, Scotland;Republic of Ireland;1.80;8;10;6;22;74
Luka Milivojević;https://s.hs-data.com/bilder/spieler/gross/129661.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/luka-milivojevic.webp;1991-04-07;Kragujevac, Serbia;Serbia;1.86;8;10;6;4;73
Andros Townsend;https://s.hs-data.com/bilder/spieler/gross/142205.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/andros-townsend.webp;1991-07-16;Leytonstone, England;England;1.81;11;18;6;10;71
Eberechi Eze;https://s.hs-data.com/bilder/spieler/gross/376466.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/eberechi-eze.webp;1998-06-29;Greenwich, England;England;1.73;12;9;6;25;72
Wilfried Zaha;https://s.hs-data.com/bilder/spieler/gross/163463.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/wilfried-zaha.webp;1992-11-10;Abidjan, Ivory Coast;Ivory Coast;1.80;16;9;6;11;82
Jordan Ayew;https://s.hs-data.com/bilder/spieler/gross/158615.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/jordan-ayew.webp;1991-09-11;Marseille, France;Ghana;1.82;18;11;6;9;76
Michy Batshuayi;https://s.hs-data.com/bilder/spieler/gross/181000.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/michy-batshuayi.webp;1993-10-02;Brussels, Belgium;Belgium;1.85;18;18;6;23;69
Christian Benteke;https://s.hs-data.com/bilder/spieler/gross/107544.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/christian-benteke.webp;1990-12-03;Kinshasa, Zaire;Belgium;1.90;18;18;6;20;71
Connor Wickham;https://s.hs-data.com/bilder/spieler/gross/140375.jpg;base_url/resources/images/players-pict/premier-league/crystal-palace/connor-wickham.webp;1993-03-31;Hereford, England;England;1.91;18;18;6;21;59

Jonas Lössl;https://s.hs-data.com/bilder/spieler/gross/119757.jpg;base_url/resources/images/players-pict/premier-league/everton/jonas-lossl.webp;1989-02-01;Kolding, Denmark;Denmark;1.95;1;1;7;49;62
João Virgínia;https://s.hs-data.com/bilder/spieler/gross/353082.jpg;base_url/resources/images/players-pict/premier-league/everton/joao-virginia.webp;1999-10-10;Faro, Portugal;Portugal;1.91;1;1;7;31;-
Robin Olsen;https://s.hs-data.com/bilder/spieler/gross/125808.jpg;base_url/resources/images/players-pict/premier-league/everton/robin-olsen.webp;1990-01-08;Malmo, Sweden;Sweden;1.96;1;1;7;33;72
Jordan Pickford;https://s.hs-data.com/bilder/spieler/gross/189453.jpg;base_url/resources/images/players-pict/premier-league/everton/jordan-pickford.webp;1994-03-07;Washington, England;England;1.85;1;1;7;1;77
Séamus Coleman;https://s.hs-data.com/bilder/spieler/gross/113774.jpg;base_url/resources/images/players-pict/premier-league/everton/seamus-coleman.webp;1988-10-11;Killybegs, Republic of Ireland;Republic of Ireland;1.77;4;4;7;23;76
Jonjoe Kenny;https://s.hs-data.com/bilder/spieler/gross/271882.jpg;base_url/resources/images/players-pict/premier-league/everton/jonjoe-kenny.webp;1997-03-15;Liverpool, England;England;1.76;4;6;7;2;67
Lucas Digne;https://s.hs-data.com/bilder/spieler/gross/192458.jpg;base_url/resources/images/players-pict/premier-league/everton/lucas-digne.webp;1993-07-20;Meaux, France;France;1.78;2;2;7;12;83
Niels Nkounkou;https://s.hs-data.com/bilder/spieler/gross/426956.jpg;base_url/resources/images/players-pict/premier-league/everton/niels-nkounkou.webp;2000-11-01;Pontoise, France;France;1.80;2;2;7;18;-
Jarrad Branthwaite;https://s.hs-data.com/bilder/spieler/gross/460463.jpg;base_url/resources/images/players-pict/premier-league/everton/jarrad-branthwaite.webp;2002-06-27;Carlisle, England;England;1.95;3;3;7;32;-
Ben Godfrey;https://s.hs-data.com/bilder/spieler/gross/304995.jpg;base_url/resources/images/players-pict/premier-league/everton/ben-godfrey.webp;1998-01-15;York, England;England;1.83;3;3;7;22;70
Mason Holgate;https://s.hs-data.com/bilder/spieler/gross/291630.jpg;base_url/resources/images/players-pict/premier-league/everton/mason-holgate.webp;1996-10-22;Doncaster, England;England;1.84;3;4;7;4;78
Michael Keane;https://s.hs-data.com/bilder/spieler/gross/200379.jpg;base_url/resources/images/players-pict/premier-league/everton/michael-keane.webp;1993-01-11;Stockport, England;England;1.91;3;3;7;5;85
Yerry Mina;https://s.hs-data.com/bilder/spieler/gross/252544.jpg;base_url/resources/images/players-pict/premier-league/everton/yerry-mina.webp;1994-09-23;Guachené, Colombia;Colombia;1.95;3;3;7;13;81
Matthew Pennington;https://s.hs-data.com/bilder/spieler/gross/248186.jpg;base_url/resources/images/players-pict/premier-league/everton/matthew-pennington.webp;1994-10-06;Warrington, England;England;1.85;3;4;7;38;56
Fabian Delph;https://s.hs-data.com/bilder/spieler/gross/96671.jpg;base_url/resources/images/players-pict/premier-league/everton/fabian-delph.webp;1989-11-21;Bradford, England;England;1.74;8;10;7;8;69
André Gomes;https://s.hs-data.com/bilder/spieler/gross/211898.jpg;base_url/resources/images/players-pict/premier-league/everton/andre-gomes.webp;1993-07-30;Grijó, Portugal;Portugal;1.88;10;8;7;21;73
Beni Baningime;https://s.hs-data.com/bilder/spieler/gross/352008.jpg;base_url/resources/images/players-pict/premier-league/everton/beni-baningime.webp;1998-09-09;Kinshasa, DR Congo;DR Congo;1.78;8;10;7;34;-
Muhamed Bešić;https://s.hs-data.com/bilder/spieler/gross/155095.jpg;base_url/resources/images/players-pict/premier-league/everton/muhamed-besic.webp;1992-09-10;Berlin, Germany;Bosnia and Herzegovina;1.77;10;8;7;30;58
Tom Davies;https://s.hs-data.com/bilder/spieler/gross/303972.jpg;base_url/resources/images/players-pict/premier-league/everton/tom-davies.webp;1998-06-30;Liverpool, England;England;1.80;10;8;7;26;69
Abdoulaye Doucouré;https://s.hs-data.com/bilder/spieler/gross/198736.jpg;base_url/resources/images/players-pict/premier-league/everton/abdoulaye-doucoure.webp;1993-01-01;Meulan-en-Yvelines, France;France;1.84;10;8;7;16;75
Jean-Philippe Gbamin;https://s.hs-data.com/bilder/spieler/gross/238229.jpg;base_url/resources/images/players-pict/premier-league/everton/jean-philippe-gbamin.webp;1995-09-25;San Pédro, Ivory Coast;Ivory Coast;1.86;8;10;7;25;57
Allan Marques;https://s.hs-data.com/bilder/spieler/gross/69574.jpg;base_url/resources/images/players-pict/premier-league/everton/allan-marques.webp;1991-01-08;Rio de Janeiro, Brazil;Brazil;1.73;10;8;7;6;75
James Rodríguez;https://s.hs-data.com/bilder/spieler/gross/135062.jpg;base_url/resources/images/players-pict/premier-league/everton/james-rodriguez.webp;1991-07-12;Cúcuta, Colombia;Colombia;1.80;12;14;7;19;74
Gylfi Sigurðsson;https://s.hs-data.com/bilder/spieler/gross/99196.jpg;base_url/resources/images/players-pict/premier-league/everton/gylfi-sigurdsson.webp;1989-09-08;Reykjavík, Iceland;Iceland;1.86;12;10;7;10;77
Alex Iwobi;https://cdn.footballtransfertavern.com/wp-content/uploads/2019/09/Evertons-Alex-Iwobi-in-action-v-Wolverhampton-Wanderers.jpg;base_url/resources/images/players-pict/premier-league/everton/alex-iwobi.webp;1996-05-03;Lagos, Nigeria;Nigeria;1.80;9;13;7;17;67
Bernard Duarte;https://s.hs-data.com/bilder/spieler/gross/187066.jpg;base_url/resources/images/players-pict/premier-league/everton/bernard-duarte.webp;1992-09-08;Belo Horizonte, Brazil;Brazil;1.66;9;12;7;20;70
Yannick Bolasie;https://s.hs-data.com/bilder/spieler/gross/93247.jpg;base_url/resources/images/players-pict/premier-league/everton/yannick-bolasie.webp;1989-05-24;Lyon, France;DR Congo;1.88;13;14;7;29;60
Anthony Gordon;https://www.hitc.com/static/uploads/hitcn/1599/anthony_gordon_of_everton_during_the_premier_league_2_match_betw_1353011.jpg;base_url/resources/images/players-pict/premier-league/everton/anthony-gordon.webp;2001-02-24;Liverpool, England;England;1.82;13;9;7;24;-
Richarlison;https://s.hs-data.com/bilder/spieler/gross/315439.jpg;base_url/resources/images/players-pict/premier-league/everton/richarlison.webp;1997-05-10;Nova Venécia, Brazil;Brazil;1.84;18;13;7;7;80
Dominic Calvert-Lewin;https://s.hs-data.com/bilder/spieler/gross/263593.jpg;base_url/resources/images/players-pict/premier-league/everton/dominic-calvert-lewin.webp;1997-03-16;Sheffield, England;England;1.87;18;18;7;9;80
Ellis Simms;https://s.hs-data.com/bilder/spieler/gross/419124.jpg;base_url/resources/images/players-pict/premier-league/everton/ellis-simms.webp;2001-05-01;Oldham, England;England;1.83;18;18;7;50;-
Cenk Tosun;https://s.hs-data.com/bilder/spieler/gross/129178.jpg;base_url/resources/images/players-pict/premier-league/everton/cenk-tosun.webp;1991-06-07;Wetzlar, Germany;Turkey;1.83;18;18;7;14;65

Fabricio Agosto;https://s.hs-data.com/bilder/spieler/gross/103635.jpg;base_url/resources/images/players-pict/premier-league/fulham/fabricio-agosto.webp;1987-12-31;Las Palmas, Spain;Spain;1.84;1;1;8;31;52
Alphonse Aréola;https://s.hs-data.com/bilder/spieler/gross/170588.jpg;base_url/resources/images/players-pict/premier-league/fulham/alphonse-areola.webp;1993-02-27;Paris, France;France;1.95;1;1;8;1;68
Marek Rodák;https://s.hs-data.com/bilder/spieler/gross/255530.jpg;base_url/resources/images/players-pict/premier-league/fulham/marek-rodak.webp;1996-12-13;Košice, Slovakia;Slovakia;1.94;1;1;8;12;73
Denis Odoi;https://s.hs-data.com/bilder/spieler/gross/129449.jpg;base_url/resources/images/players-pict/premier-league/fulham/denis-odoi.webp;1988-05-27;Leuven, Belgium;Belgium;1.78;4;3;8;4;67
Joe Bryan;https://s.hs-data.com/bilder/spieler/gross/207790.jpg;base_url/resources/images/players-pict/premier-league/fulham/joe-bryan.webp;1993-09-17;Bristol, England;England;1.70;2;5;8;23;73
Terence Kongolo;https://s.hs-data.com/bilder/spieler/gross/189551.jpg;base_url/resources/images/players-pict/premier-league/fulham/terence-kongolo.webp;1994-02-14;Fribourg, Switzerland;Netherlands;1.88;3;2;8;30;55
Maxime Le Marchand;https://s.hs-data.com/bilder/spieler/gross/150430.jpg;base_url/resources/images/players-pict/premier-league/fulham/maxime-le-merchand.webp;1989-10-11;Saint-Malo, France;France;1.85;3;2;8;20;60
Antonee Robinson;https://s.hs-data.com/bilder/spieler/gross/292471.jpg;base_url/resources/images/players-pict/premier-league/fulham/antonee-robinson.webp;1997-08-08;Milton Keynes, England;United States;1.83;2;5;8;33;70
Tosin Adarabioyo;https://tmssl.akamaized.net/images/portrait/originals/258878-1481111547.jpg;base_url/resources/images/players-pict/premier-league/fulham/tosin-adarabioyo.webp;1997-09-24;Manchester, England;England;1.96;3;4;8;16;68
Joachim Andersen;https://tmssl.akamaized.net/images/portrait/originals/260827-1418856012.jpg;base_url/resources/images/players-pict/premier-league/fulham/joachim-andersen.webp;1996-05-31;Solrød Strand, Denmark;Denmark;1.93;3;3;8;5;74
Michael Hector;https://s.hs-data.com/bilder/spieler/gross/181951.jpg;base_url/resources/images/players-pict/premier-league/fulham/michael-hector.webp;1992-07-19;East Ham, London, England;Jamaica;1.93;3;3;8;3;68
Tim Ream;https://s.hs-data.com/bilder/spieler/gross/163501.jpg;base_url/resources/images/players-pict/premier-league/fulham/tim-ream.webp;1987-05-10;St. Louis, United States;United States;1.86;3;3;8;13;68
Kenny Tete;https://s.hs-data.com/bilder/spieler/gross/227194.jpg;base_url/resources/images/players-pict/premier-league/fulham/kenny-tete.webp;1995-10-09;Amsterdam, Netherlands;Netherlands;1.80;4;4;8;2;74
Ola Aina;https://s.hs-data.com/bilder/spieler/gross/252227.jpg;base_url/resources/images/players-pict/premier-league/fulham/ola-aina.webp;1996-10-08;Southwark, London, England;Nigeria;1.82;9;4;8;34;71
Tyrese Francois;https://s.hs-data.com/bilder/spieler/gross/408890.jpg;base_url/resources/images/players-pict/premier-league/fulham/tyrese-francois.webp;2000-07-16;Campbelltown, Australia;Australia;1.70;10;10;8;35;-
Harrison Reed;https://s.hs-data.com/bilder/spieler/gross/249721.jpg;base_url/resources/images/players-pict/premier-league/fulham/harrison-reed.webp;1995-01-27;Worthing, England;England;1.81;8;10;8;21;69
Jean Michaël Seri;https://s.hs-data.com/bilder/spieler/gross/231510.jpg;base_url/resources/images/players-pict/premier-league/fulham/jean-michael-seri.webp;1991-07-19;Grand-Béréby, Ivory Coast;Ivory Coast;1.68;10;8;8;24;73
André-Franck Zambo Anguissa;https://s.hs-data.com/bilder/spieler/gross/297411.jpg;base_url/resources/images/players-pict/premier-league/fulham/andre-franck-zambo-anguissa.webp;1995-11-16;Yaoundé, Cameroon;Cameroon;1.84;10;8;8;29;84
Tom Cairney;https://s.hs-data.com/bilder/spieler/gross/156402.jpg;base_url/resources/images/players-pict/premier-league/fulham/tom-cairney.webp;1991-11-20;Nottingham, England;Scotland;1.83;12;10;8;10;73
Stefan Johansen;https://s.hs-data.com/bilder/spieler/gross/108259.jpg;base_url/resources/images/players-pict/premier-league/fulham/stefan-johansen.webp;1991-01-08;Vardø, Norway;Norway;1.82;10;8;8;8;64
Mario Lemina;https://s.hs-data.com/bilder/spieler/gross/229878.jpg;base_url/resources/images/players-pict/premier-league/fulham/mario-lemina.webp;1993-09-01;Libreville, Gabon;Gabon;1.84;10;8;8;18;72
Ruben Loftus-Cheek;https://tmssl.akamaized.net/images/portrait/originals/202886-1518793502.jpg;base_url/resources/images/players-pict/premier-league/fulham/ruben-loftus-cheek.webp;1996-01-23;Lewisham, England;England;1.91;10;10;8;15;69
Kevin McDonald;https://s.hs-data.com/bilder/spieler/gross/118407.jpg;base_url/resources/images/players-pict/premier-league/fulham/kevin-mcdonald.webp;1988-11-04;Carnoustie, Scotland;Scotland;1.92;8;10;8;6;57
Ademola Lookman;https://s.hs-data.com/bilder/spieler/gross/335309.jpg;base_url/resources/images/players-pict/premier-league/fulham/ademola-lookman.webp;1997-10-20;Wandsworth, London, England;England;1.74;11;9;8;19;61
Josh Onomah;https://s.hs-data.com/bilder/spieler/gross/227131.jpg;base_url/resources/images/players-pict/premier-league/fulham/josh-onomah.webp;1997-04-27;Enfield, England;England;1.85;10;12;8;25;67
Neeskens Kebano;https://s.hs-data.com/bilder/spieler/gross/178579.jpg;base_url/resources/images/players-pict/premier-league/fulham/neeskens-kebano.webp;1992-03-10;Montereau, France;DR Congo;1.70;13;9;8;7;61
Bobby Decordova-Reid;https://s.hs-data.com/bilder/spieler/gross/185753.jpg;base_url/resources/images/players-pict/premier-league/fulham/bobby-decordova-reid.webp;1993-02-02;Bristol, England;Jamaica;1.70;18;13;8;14;62
Ivan Cavaleiro;https://s.hs-data.com/bilder/spieler/gross/201241.jpg;base_url/resources/images/players-pict/premier-league/fulham/ivan-cavaleiro.webp;1993-10-18;Vila Franca de Xira, Portugal;Portugal;1.75;13;14;8;17;61
Aboubakar Kamara;https://s.hs-data.com/bilder/spieler/gross/284633.jpg;base_url/resources/images/players-pict/premier-league/fulham/aboubakar-kamara.webp;1995-03-07;Gonesse, France;France;1.77;18;14;8;47;63
Aleksandar Mitrović;https://s.hs-data.com/bilder/spieler/gross/201384.jpg;base_url/resources/images/players-pict/premier-league/fulham/aleksandar-mitrovic.webp;1994-09-16;Smederevo, Serbia;Serbia;1.89;18;18;8;9;74

Elia Caprile;https://i2-prod.leeds-live.co.uk/sport/leeds-united/article17838072.ece/ALTERNATES/s1200b/1_JS207801891.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/elia-caprile.webp;2001-08-25;Verona, Italy;Italy;1.91;1;1;9;25;-
Kiko Casilla;https://s.hs-data.com/bilder/spieler/gross/46510.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/kiko-casilla.webp;1986-10-02;Alcover, Spain;Spain;1.90;1;1;9;13;60
Illan Meslier;https://s.hs-data.com/bilder/spieler/gross/404318.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/illan-meslier.webp;2000-03-02;Lorient, France;France;1.97;1;1;9;1;70
Luke Ayling;https://s.hs-data.com/bilder/spieler/gross/163909.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/luke-ayling.webp;1991-08-25;Lambeth, England;England;1.85;4;3;9;2;75
